Library,Location,State,Homepage,Catalog,Current Automation System Name,Current Automation System Year,Previous Automation System Name,Previous Automation System Year,Previous Automation System_1 Name,Previous Automation System_1 Year,Previous Automation System_2 Name,Previous Automation System_2 Year,Discovery Interface Name,Discovery Interface Year,Item ID Type Name,Item ID Type Year,Previous Discovery Interface Name,Previous Discovery Interface Year,Digital Asset Magement Name,Digital Asset Magement Year,Self-Check Name,Self-Check Year,OpenURL Link resolver Name,OpenURL Link resolver Year,Federated search product Name,Federated search product Year,Electronic Resource Magement Name,Electronic Resource Magement Year,Previous Automation System_3 Name,Previous Automation System_3 Year,Automated Materials Handling Name,Automated Materials Handling Year,Web Content Magement Name,Web Content Magement Year,RFID Provider Name,RFID Provider Year,Discovery Service (w/index) Name,Discovery Service (w/index) Year,RFID Tag Vendor Name,RFID Tag Vendor Year,Catalog Enhancement Name,Catalog Enhancement Year,RFID Tag Type Name,RFID Tag Type Year,Institutiol Repository Name,Institutiol Repository Year,Research Services Tool Name,Research Services Tool Year,Previous Discovery Index Name,Previous Discovery Index Year,Archives Magement Name,Archives Magement Year,Previous Link resolver Name,Previous Link resolver Year,number_of_total_trackers_homepage,behaviour_event_listeners_homepage,canvas_fingerprinters_homepage,canvas_font_fingerprinters_homepage,cookies_homepage,fb_pixel_events_homepage,key_logging_homepage,session_recorders_homepage,third_party_trackers_homepage,google_homepage,google_analytics_homepage,facebook_homepage,number_of_total_trackers_catalog,behaviour_event_listeners_catalog,canvas_fingerprinters_catalog,canvas_font_fingerprinters_catalog,cookies_catalog,fb_pixel_events_catalog,key_logging_catalog,session_recorders_catalog,third_party_trackers_catalog,google_catalog,google_analytics_catalog,facebook_catalog
New Marlborough Town Library,"Mill River, MA",Massachusetts,https://www.newmarlboroughlibrary.org/,http://bark.cwmars.org/,Evergreen -- MOBIUS,2022.0,Evergreen -- Independent,2012.0,Millennium,1999.0,Carl,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Millbury Public Library,"Millbury, MA",Massachusetts,https://www.millburylibrary.org/,http://bark.cwmars.org/,Evergreen -- MOBIUS,2022.0,Evergreen -- Independent,2012.0,Millennium,1999.0,Carl,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,16.0,0.0,0.0,7.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,8.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Millis Public Library,"Millis, MA",Massachusetts,https://www.millislibrary.org/,http://find.minlib.net.,Sierra,2013.0,Millennium,2003.0,DRA,1991.0,CLSI,1984.0,Encore,2011.0,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,11.0,3.0,0.0,5.0,0.0,0.0,0.0,26.0,18.0,14.0,0.0,11.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Millville Free Public Library,"Millville, MA",Massachusetts,https://www.millvillema.org/public-library,http://bark.cwmars.org/,Evergreen -- MOBIUS,2022.0,Evergreen -- Independent,2012.0,Millennium,1999.0,Carl,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,4.0,0.0,0.0,20.0,0.0,0.0,0.0,69.0,6.0,0.0,0.0,8.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milton Public Library,"Milton, MA",Massachusetts,https://miltonlibrary.org/,http://sirsiweb.ocln.org/uhtbin/cgisirsi/x/QUINCY/237720917/38/72/X/BLASTOFF,Symphony,2001.0,,,,,,,Enterprise,,RFID,,AquaBrowser Library,,,,,,,,,,,,,,3M Sortation,,WordPress,,,,,,,,LibraryThing for Libraries,,,,,,,,,,,,,,17.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monson Free Library,"Monson, MA",Massachusetts,https://monsonlibrary.com/,http://bark.cwmars.org/,Evergreen -- MOBIUS,2022.0,Evergreen -- Independent,2012.0,Millennium,1999.0,Carl,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,8.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montague Public Libraries,"Montague, MA",Massachusetts,https://MontaguePublicLibraries.org/,http://bark.cwmars.org/,Evergreen -- MOBIUS,2022.0,Evergreen -- Independent,2012.0,Millennium,1999.0,Carl,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monterey Public Library,"Monterey, MA",Massachusetts,https://www.montereymasslibrary.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,18.0,2.0,0.0,5.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,,,,,,,,,,,,
Grace Hall Memorial Library,"Montgomery, MA",Massachusetts,https://wghl.masscat.org/,http://masscat.bywatersolutions.com/cgi-bin/koha/opac-search.pl,Koha -- ByWater Solutions,2011.0,Koha -- LibLime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,15.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0
Mount Washington Public Library,"Mount Washington, MA",Massachusetts,https://mountwashington-ma.gov/mt-washington-library/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,7.0,4.0,0.0,2.0,0.0,0.0,0.0,13.0,13.0,9.0,0.0,,,,,,,,,,,,
hant Public Library,"hant, MA",Massachusetts,https://hantlibrary.org/,http://hantlibrary.masscat.org/,Koha -- ByWater Solutions,2012.0,None,,,,,,,,Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ntucket Atheneum,"ntucket, MA",Massachusetts,https://ntucketatheneum.org/,http://www.clamsnet.org/,Koha -- ByWater Solutions,2022.0,Sierra,2013.0,Millennium,2002.0,DRA,1991.0,Aspen Discovery -- ByWater Solutions,2022.0,,,Encore,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0
Bacon Free Library,"tick, MA",Massachusetts,https://baconfreelibrary.org/,,Sierra,2013.0,Millennium,2003.0,DRA,1991.0,CLSI,1984.0,Encore,2011.0,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,6.0,3.0,0.0,4.0,4.0,0.0,0.0,44.0,12.0,8.0,24.0,,,,,,,,,,,,
Needham Free Public Library,"Needham, MA",Massachusetts,https://needhamlibrary.org/,http://library.minlib.net/search/,Sierra,2013.0,Millennium,2003.0,DRA,1991.0,CLSI,1984.0,Encore,2011.0,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,9.0,4.0,0.0,4.0,0.0,0.0,0.0,44.0,36.0,26.0,0.0,16.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0
New Bedford Free Public Library,"New Bedford, MA",Massachusetts,https://www.newbedford-ma.gov/library/,https://sails.ent.sirsi.net/client/en_US/nbedmain/,Symphony,2000.0,Dynix,1987.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,21.0,8.0,0.0,10.0,0.0,0.0,2.0,32.0,8.0,8.0,0.0,7.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0
New Braintree Leroy Pollard Memorial Library,"New Braintree, MA",Massachusetts,https://www.newbraintreema.us/library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
New Salem Public Library,"New Salem, MA",Massachusetts,https://www.newsalempubliclibrary.org/,http://bark.cwmars.org/eg/opac/home?loc=243,Evergreen -- MOBIUS,2022.0,Evergreen -- Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,17.0,0.0,0.0,10.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,8.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newbury Town Library,"Newbury, MA",Massachusetts,https://newburylibrary.org/,http://catalog.mvlc.lib.ma.us/ipac20/ipac.jsp?profile=mnb&menu=search,Symphony,2017.0,Evergreen -- Equinox,2011.0,Horizon,2001.0,CLSI,1990.0,,,,,,,,,,,,,,,,,GLIS,1988.0,,,,,,,,,,,,,,,,,,,,,,,,,50.0,32.0,1.0,0.0,3.0,1.0,0.0,0.0,14.0,12.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newburyport Public Library,"Newburyport, MA",Massachusetts,https://www.newburyportpl.org/,http://newburyport.mvlc.org/eg/opac/home,Symphony,2017.0,Evergreen -- Equinox,2011.0,Horizon,2001.0,CLSI,1990.0,,,,,,,,,,,,,,,,,GLIS,1988.0,,,,,,,,,,,,,,,,,,,,,,,,,47.0,13.0,2.0,0.0,6.0,0.0,0.0,0.0,26.0,26.0,15.0,0.0,9.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0
Newton Free Library,"Newton, MA",Massachusetts,https://newtonfreelibrary.net/,http://library.minlib.net/search/,Sierra,2013.0,Millennium,2003.0,DRA,1991.0,CLSI,1984.0,Encore,2011.0,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,7.0,4.0,0.0,34.0,0.0,0.0,0.0,54.0,44.0,30.0,0.0,16.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0
Norfolk Public Library,"Norfolk, MA",Massachusetts,https://norfolkpl.org/,http://opac.sailsinc.org/uhtbin/webcat,Symphony,2000.0,Dynix,1987.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,35.0,27.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Adams Public Library,"North Adams, MA",Massachusetts,https://plibrary.libguides.com/home,http://bark.cwmars.org/,Evergreen -- MOBIUS,2022.0,Evergreen -- Independent,2012.0,Millennium,1999.0,Carl,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stevens Memorial Library,"North Andover, MA",Massachusetts,https://www.stevensmemlib.org/,http://catalog.mvlc.lib.ma.us/ipac20/ipac.jsp?profile=msm&menu=search,Symphony,2017.0,Evergreen -- Equinox,2011.0,Horizon,2001.0,CLSI,1990.0,,,,,,,,,,,,,,,,,GLIS,1988.0,,,WordPress,,,,,,,,,,,,,,,,,,,,,,27.0,6.0,6.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richards Memorial Library,"North Attleboro, MA",Massachusetts,https://www.rmlonline.org/,http://opac.sailsinc.org/uhtbin/webcat,Symphony,2000.0,Dynix,1987.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,15.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haston Free Public Library,"North Brookfield, MA",Massachusetts,https://www.northbrookfield.net/haston-free-public-library,http://bark.cwmars.org/,Evergreen -- MOBIUS,2022.0,Evergreen -- Independent,2012.0,Millennium,1999.0,Carl,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,5.0,0.0,0.0,21.0,0.0,0.0,0.0,62.0,15.0,6.0,0.0,8.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flint Memorial Library,"North Reading, MA",Massachusetts,https://flintmemoriallibrary.org/,http://catalog.mvlc.lib.ma.us/ipac20/ipac.jsp?profile=msm&menu=search,Symphony,2017.0,Evergreen -- Equinox,2011.0,Horizon,2001.0,CLSI,1990.0,,,,,,,,,,,,,,,,,GLIS,1988.0,,,,,,,,,,,,,,,,,,,,,,,,,36.0,4.0,4.0,0.0,3.0,1.0,0.0,0.0,25.0,16.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Truro Public Library,"North Truro, MA",Massachusetts,https://trurolibrary.org/,http://library.clamsnet.org/,Koha -- ByWater Solutions,2022.0,Sierra,2013.0,Millennium,2002.0,DRA,1991.0,Aspen Discovery -- ByWater Solutions,2022.0,,,Encore,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,7.0,4.0,0.0
Forbes Library,"Northampton, MA",Massachusetts,https://forbeslibrary.org/,http://bark.cwmars.org/,Evergreen -- MOBIUS,2022.0,Evergreen -- Independent,2012.0,Millennium,1999.0,Carl,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,17.0,8.0,0.0,8.0,0.0,0.0,0.0,94.0,28.0,16.0,0.0,8.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northborough Free Library,"Northborough, MA",Massachusetts,https://www.northboroughlibrary.org/,http://bark.cwmars.org/,Evergreen -- MOBIUS,2022.0,Evergreen -- Independent,2012.0,Millennium,1999.0,Carl,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,15.0,4.0,0.0,9.0,0.0,0.0,0.0,57.0,26.0,17.0,0.0,8.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dickinson Memorial Library,"Northfield, MA",Massachusetts,https://northfieldpubliclibrary.org/,http://bark.cwmars.org/,Evergreen -- MOBIUS,2022.0,Evergreen -- Independent,2012.0,Millennium,1999.0,Carl,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,7.0,4.0,0.0,4.0,0.0,0.0,0.0,20.0,20.0,12.0,0.0,8.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norton Public Library,"Norton, MA",Massachusetts,https://www.nortonlibrary.org/,http://opac.sailsinc.org/uhtbin/webcat,Symphony,2000.0,Dynix,1987.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norwell Public Library,"Norwell, MA",Massachusetts,https://www.norwellpubliclibrary.org/,http://sirsiweb.ocln.org/uhtbin/cgisirsi/x/QUINCY/237720917/38/72/X/BLASTOFF,Symphony,2001.0,,,,,,,Enterprise,,,,AquaBrowser Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,12.0,0.0,0.0,5.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morrill Memorial Library,"Norwood, MA",Massachusetts,https://www.norwoodlibrary.org/404.html,http://library.minlib.net/search/,Sierra,2013.0,Millennium,2003.0,DRA,1991.0,CLSI,1984.0,Encore,2011.0,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,10.0,6.0,0.0,1.0,0.0,0.0,0.0,15.0,7.0,1.0,0.0,16.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,9.0,9.0,9.0,0.0
Oak Bluffs Library,Oak Bluffs MA,Massachusetts,https://oakbluffslibrary.org/,http://library.clamsnet.org/,Koha -- ByWater Solutions,2022.0,Sierra,2013.0,Millennium,2002.0,DRA,1991.0,Aspen Discovery -- ByWater Solutions,2022.0,,,Encore,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,5.0,4.0,0.0,5.0,0.0,0.0,0.0,35.0,35.0,22.0,0.0,20.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,7.0,4.0,0.0
Fobes Memorial Library,"Oakham, MA",Massachusetts,https://fobesmemoriallibrary.org/,http://masscat.bywatersolutions.com/cgi-bin/koha/opac-search.pl?kcs_submit=Search,Koha -- ByWater Solutions,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0
Wheeler Memorial Library,"Orange, MA",Massachusetts,https://orangelib.org/,http://bark.cwmars.org/,Evergreen -- MOBIUS,2022.0,Evergreen -- Independent,2012.0,Millennium,1999.0,Carl,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snow Library,"Orleans, MA",Massachusetts,https://www.snowlibrary.org,http://library.clamsnet.org/,Koha -- ByWater Solutions,2022.0,Sierra,2013.0,Millennium,2002.0,DRA,1991.0,Aspen Discovery -- ByWater Solutions,2022.0,,,Encore,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,20.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,7.0,4.0,0.0
Osterville Free Library,"Osterville, MA",Massachusetts,https://www.ostervillefreelibrary.org/,http://library.clamsnet.org/,Koha -- ByWater Solutions,2022.0,Sierra,2013.0,Millennium,2002.0,DRA,1991.0,Aspen Discovery -- ByWater Solutions,2022.0,,,Encore,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,21.0,21.0,12.0,0.0,20.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,7.0,4.0,0.0
Otis Free Public Library,"Otis, MA",Massachusetts,https://townofotisma.com/commissions-councils/library-and-museum/,,Evergreen -- MOBIUS,2022.0,Evergreen -- Independent,2012.0,VERSO,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,14.0,4.0,0.0,2.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,,,,,,,,,,,,
Oxford Free Public Library,"Oxford, MA",Massachusetts,https://oxfordmapubliclibrary.org/,http://bark.cwmars.org/,Evergreen -- MOBIUS,2022.0,Evergreen -- Independent,2012.0,Millennium,1999.0,Carl,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Palmer Public Library,"Palmer, MA",Massachusetts,https://www.palmerlibrary.org/,http://bark.cwmars.org/,Evergreen -- MOBIUS,2022.0,Evergreen -- Independent,2012.0,Millennium,1999.0,Carl,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,33.0,24.0,16.0,0.0,8.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richards Memorial Library,"Paxton, MA",Massachusetts,https://rmlpaxton.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,5.0,1.0,0.0,5.0,0.0,0.0,0.0,13.0,13.0,11.0,0.0,,,,,,,,,,,,
Peabody Institute Library,"Peabody, MA",Massachusetts,https://peabodylibrary.org/,http://evergreen.noblenet.org/,Evergreen -- MOBIUS,2022.0,Evergreen -- Independent,2012.0,Millennium,1999.0,PLUS,1989.0,,,,,,,,,,,,,,,,,CLSI,1979.0,,,,,,,,,,,,,,,,,,,,,,,,,11.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,2.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
Pelham Town Library,"Pelham, MA",Massachusetts,https://www.pelham-library.net/,http://masscat.bywatersolutions.com/cgi-bin/koha/opac-search.pl,Koha -- ByWater Solutions,2011.0,Koha -- LibLime,,Winnebago Spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0
Pembroke Public Library,"Pembroke, MA",Massachusetts,https://www.pembrokepubliclibrary.org/,http://opac.sailsinc.org/uhtbin/webcat,Symphony,2000.0,Dynix,1987.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,16.0,1.0,0.0,5.0,0.0,0.0,0.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lawrence Library,"Pepperell, MA",Massachusetts,https://www.palmerlibrary.org/,http://bark.cwmars.org/,Evergreen -- MOBIUS,2022.0,Evergreen -- Independent,2012.0,Millennium,1999.0,Carl,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,33.0,24.0,16.0,0.0,8.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peru Library,"Peru, MA",Massachusetts,https://perulibraryma.org/,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,
Petersham Memorial Library,"Petersham, MA",Massachusetts,https://www.petershamlibrary.net/index.html,https://bark.cwmars.org/eg/opac/home?locg=93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phillips Free Public Library,"Phillipston, MA",Massachusetts,https://www.phillipston-ma.gov/phillips-free-public-library,,Koha -- ByWater Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,12.0,2.0,2.0,0.0,,,,,,,,,,,,
Berkshire Atheeum,"Pittsfield, MA",Massachusetts,https://www.berkshire.net/PittsfieldLibrary/,http://bark.cwmars.org/,Evergreen -- MOBIUS,2022.0,Evergreen -- Independent,2012.0,Millennium,1999.0,Carl,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,13.0,0.0,0.0,6.0,0.0,0.0,0.0,37.0,28.0,24.0,0.0,8.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaw Memorial Library,"Plainfield, MA",Massachusetts,https://plainfield-ma.us/p/16/Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Plainville Public Library,"Plainville, MA",Massachusetts,https://www.plainvillepubliclibrary.org/,http://opac.sailsinc.org/uhtbin/webcat,Symphony,2000.0,Dynix,1987.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,7.0,0.0,0.0,10.0,0.0,0.0,0.0,26.0,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plymouth Public Library,"Plymouth, MA",Massachusetts,https://www.plymouthpubliclibrary.org/,http://sirsiweb.ocln.org/uhtbin/cgisirsi/x/QUINCY/237720917/38/72/X/BLASTOFF,Symphony,2001.0,,,,,,,Enterprise,,,,AquaBrowser Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,18.0,4.0,0.0,5.0,0.0,0.0,0.0,33.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plympton Public Library,"Plympton, MA",Massachusetts,https://sails.ent.sirsi.net/client/en_US/plympton/,http://opac.sailsinc.org/uhtbin/webcat,Symphony,2000.0,Dynix,1987.0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Princeton Public Library,"Princeton, MA",Massachusetts,https://www.town.princeton.ma.us/library,http://bark.cwmars.org/,Evergreen -- MOBIUS,2022.0,Evergreen -- Independent,2012.0,Millennium,1999.0,Carl,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,43.0,8.0,8.0,0.0,8.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
