names,location,electoral_position,electoral_level,electoral_branch,candidate_page,campaign_website_url,camp_hand,off_hand,per_hand,party,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,error-type_color-contrast,error-type_link-name,error-type_heading-order,error-type_region,number_of_pages,number_of_total_errors,number_of_critical_errors,number_of_serious_errors,number_of_moderate_errors,number_of_minor_errors,number_of_words,number_of_unique_words,ease_of_reading,error-type_label,error-type_duplicate-id-active,error-type_checkboxgroup,error-type_label-title-only,error-type_page-has-heading-one,error-type_aria-allowed-role,error-type_image-alt,error-type_meta-viewport,error-type_bypass,error-type_html-has-lang,error-type_landmark-one-main,error-type_duplicate-id,error-type_frame-title,error-type_button-name,error-type_aria-roles,error-type_aria-valid-attr,error-type_empty-heading,error-type_document-title,error-type_landmark-no-duplicate-banner,error-type_aria-allowed-attr,error-type_autocomplete-valid,error-type_landmark-main-is-top-level,error-type_dlitem,error-type_definition-list,error-type_list,error-type_tabindex,error-type_skip-link,error-type_aria-valid-attr-value,error-type_aria-required-attr,error-type_listitem,error-type_landmark-no-duplicate-contentinfo,error-type_landmark-banner-is-top-level,error-type_meta-viewport-large,error-type_radiogroup,error-type_frame-title-unique,error-type_aria-required-children,error-type_duplicate-id-aria,error-type_image-redundant-alt,error-type_meta-refresh,error-type_landmark-contentinfo-is-top-level,error-type_aria-required-parent,error-type_marquee,error-type_input-image-alt,error-type_object-alt,number_of_total_trackers,behaviour_event_listeners,canvas_fingerprinters,canvas_font_fingerprinters,cookies,fb_pixel_events,key_logging,session_recorders,third_party_trackers
Caesar Gonzales,Georgia 13th,House,Federal,Legislative,https://ballotpedia.org/Caesar_Gonzales,https://caesargonzalesforcongress.us,Mechracer74,,,Republican Party,Lost,"263,832","48,129",0.182,,8.0,17.0,12.0,12,685,33,13,29,610,4608,1065,50.38666667,6.0,,,,,565.0,25.0,,,,,45.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,13,3,0,8,0,0,0,13
Marcus Flowers,Georgia 14th,House,Federal,Legislative,https://ballotpedia.org/Marcus_Flowers,https://marcusforgeorgia.com/,Marcus4Georgia,,,Democratic Party,Lost,"258,005","88,018",0.341,40.0,,,,18,70,0,52,0,18,2381,370,56.20529412,,,,,,18.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,9,5,0,4,0,0,0,23
Conrad Kress,Hawaii 1st,House,Federal,Legislative,https://ballotpedia.org/Conrad_Kress,https://conradkressforhawaii.com/,conradkressHI01,,,Republican Party,Lost,"150,349","34,323",0.228,1.0,3.0,,1.0,1,9,0,4,3,2,108,80,42.05,,,,,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,11,1,0,48,0,0,0,72
Darian Drake,Idaho 1st,House,Federal,Legislative,https://ballotpedia.org/Darian_Drake,https://darian.us,DarianDrake,,,Libertarian Party,Lost,"223,596","5,485",0.025,100.0,13.0,1.0,14.0,14,203,17,113,31,42,6182,1427,55.24785714,4.0,,,,2.0,42.0,13.0,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,5,4,0,1,0,0,0,8
Eric Carlson,Illinois 1st,House,Federal,Legislative,https://ballotpedia.org/Eric_Carlson,https://www.ericcarlsonforcongress.com/,EricCarlsonIL01,,,Republican Party,Lost,"237,425","78,258",0.33,2.0,1.0,,1.0,1,8,2,4,2,0,60,41,73.68,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,3,0,0,0,0
Justin Burau,Illinois 3rd,House,Federal,Legislative,https://ballotpedia.org/Justin_Burau,https://www.burauforcongress.com/,JustinBurau,,,Republican Party,Lost,"162,717","54,147",0.333,,,2.0,,5,25,4,7,4,10,4447,1068,68.136,3.0,,,,2.0,5.0,,,,,,5.0,2.0,,,1.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,68,16,2,0,8,0,0,0,42
James Falakos,Illinois 4th,House,Federal,Legislative,https://ballotpedia.org/James_Falakos,https://falakos4congress.com/,,,,Republican Party,Lost,"133,047","37,352",0.281,77.0,9.0,2.0,9.0,9,136,2,86,45,3,1911,514,28.93555556,,,2.0,,7.0,,,,,,2.0,3.0,,,,,,,7.0,,,,,,,,9.0,,,,,9.0,,,,,,,,,,,,,18,12,3,0,2,0,0,0,1
Jerico Matias Cruz,Illinois 5th,House,Federal,Legislative,https://ballotpedia.org/Jerico_Matias_Cruz,https://cruzforuscongress.org/,cruzforuscong,,,Independent,Lost,"239,957","3,920",0.016,,,42.0,20.0,20,1889,17,5,62,1805,5586,1055,41.705,,,,,,1692.0,13.0,,,,,113.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,26,9,2,0,5,0,0,0,10
Keith Pekau,Illinois 6th,House,Federal,Legislative,https://ballotpedia.org/Keith_Pekau,https://www.keithpekau.com/,KeithPekau,,MayorPekau,Republican Party,Lost,"276,859","126,351",0.456,5.0,,,1.0,1,11,3,5,2,1,125,90,61.77,3.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,14,4,0,3,0,0,0,13
Max Rice,Illinois 9th,House,Federal,Legislative,https://ballotpedia.org/Max_Rice,https://www.maxriceforcongress.com/,checkrice,,,Republican Party,Lost,"200,803","56,055",0.279,4.0,12.0,,,4,30,0,16,10,4,1669,622,55.3125,,,,,2.0,,,,,,4.0,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,106,27,3,0,10,0,0,0,66
Joseph Severino,Illinois 10th,House,Federal,Legislative,https://ballotpedia.org/Joseph_Severino,https://www.severinoforcongress.com/,Joe_Severino,,,Republican Party,Lost,"220,701","80,642",0.365,2.0,1.0,,1.0,1,8,2,4,2,0,60,41,73.68,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,3,0,0,0,0
Catalina Lauf,Illinois 11th,House,Federal,Legislative,https://ballotpedia.org/Catalina_Lauf,https://www.catalinaforcongress.com/,CatalinaLauf,,,Republican Party,Lost,"264,241","115,069",0.435,,,2.0,,1,9,0,2,2,5,629,334,52.19,,2.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,8,1,0,11,0,1,0,35
Regan Deering,Illinois 13th,House,Federal,Legislative,https://ballotpedia.org/Regan_Deering,https://www.regan4congress.com,Regan4Congress,,,Republican Party,Lost,"236,096","106,853",0.453,1.0,1.0,2.0,1.0,1,11,5,2,3,1,288,164,54.32,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,10,2,0,5,0,0,0,21
Scott Gryder,Illinois 14th,House,Federal,Legislative,https://ballotpedia.org/Scott_Gryder,https://www.scottgryder.com/,Gryder4Congress,,,Republican Party,Lost,"231,875","107,247",0.463,1320.0,619.0,27.0,70.0,70,2282,210,1948,105,19,33423,3530,52.524,198.0,4.0,,,4.0,6.0,,,,4.0,4.0,10.0,1.0,,,,3.0,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,65,9,4,0,28,0,0,0,24
Elizabeth Haderlein,Illinois 16th,House,Federal,Legislative,https://ballotpedia.org/Elizabeth_Haderlein,https://haderleinforcongress.com/,LisaHaderlein,,,Democratic Party,Lost,"238,500","79,705",0.334,4.0,1.0,11.0,6.0,6,317,14,5,17,281,1380,512,60.93333333,,,,,,260.0,14.0,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,0,3,0,0,0,0
Esther Joy King,Illinois 17th,House,Federal,Legislative,https://ballotpedia.org/Esther_Joy_King,https://www.estherforcongress.com/,esther4congress,,estherjoyking,Republican Party,Lost,"230,828","111,378",0.483,4.0,1.0,,1.0,1,9,1,6,2,0,51,41,71.14,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Jennifer-Ruth Green,Indiana 1st,House,Federal,Legislative,https://ballotpedia.org/Jennifer-Ruth_Green,https://jennifer-ruthgreen.com/,JenRuthGreen,,,Republican Party,Lost,"213,207","100,542",0.472,290.0,210.0,,40.0,40,674,40,525,109,0,22581,2672,38.212,,,,,29.0,,,40.0,24.0,,40.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,9,0,0,14,4,0,0,48
Nathan Gotsch,Indiana 3rd,House,Federal,Legislative,https://ballotpedia.org/Nathan_Gotsch,https://www.nathanforus.com,NathanCongress,,,Independent,Lost,"239,647","11,158",0.047,1.0,23.0,31.0,,29,181,3,73,36,69,10614,2036,43.66793103,1.0,17.0,,,5.0,44.0,,,,,,25.0,,,,,,,,,4.0,,,,,28.0,,,,,,,,,,,2.0,,,,,,,,18,11,0,0,3,0,0,0,4
Jeannine Lee Lake,Indiana 5th,House,Federal,Legislative,https://ballotpedia.org/Jeannine_Lee_Lake,https://jeannineleelakeforcongress.com/,lakeforcongress,,,Democratic Party,Lost,"239,869","93,373",0.389,37.0,80.0,14.0,16.0,17,199,30,117,52,0,4720,902,62.52352941,10.0,,,,3.0,,,,,,17.0,,,,,,,,2.0,,,,,,,,,20.0,,,,,,,,,,,,,,,,,14,8,4,0,2,0,0,0,0
Cynthia Wirth,Indiana 6th,House,Federal,Legislative,https://ballotpedia.org/Cynthia_Wirth,https://www.wirth4congress.com,cwirth4congress,,cindewirth,Democratic Party,Lost,"174,112","55,716",0.32,12.0,9.0,1.0,1.0,1,36,1,21,3,11,453,228,63.59,,,,,,1.0,,1.0,,,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,5,0,0,6,0,0,0,9
Angela Grabovsky,Indiana 7th,House,Federal,Legislative,https://ballotpedia.org/Angela_Grabovsky,https://angelaforindiana.com/,angelaforIN7,,,Republican Party,Lost,"163,122","49,983",0.306,,33.0,9.0,7.0,7,95,11,40,30,14,3847,958,47.79714286,11.0,,,,2.0,14.0,,,,,5.0,,7.0,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,68,9,5,0,19,0,0,0,35
Andy Horning,Indiana 8th,House,Federal,Legislative,https://ballotpedia.org/Andy_Horning,https://horning4congress.com/,HorningCongress,,,Libertarian Party,Lost,"209,549","5,780",0.028,5.0,3.0,1.0,1.0,1,10,0,8,2,0,282,172,49.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,3,4,0,0,0,0,0,21
Matthew Fyfe,Indiana 9th,House,Federal,Legislative,https://ballotpedia.org/Matthew_Fyfe,https://mattfyfe.com/,Hoosiers4Fyfe,,,Democratic Party,Lost,"225,276","75,700",0.336,23.0,82.0,17.0,9.0,9,607,9,115,65,418,1145,298,79.74222222,,,,,3.0,413.0,,9.0,,,9.0,5.0,1.0,,,,,,9.0,,,,,,,9.0,9.0,,,,,9.0,,,,,,,,,,,,,52,11,3,0,5,4,0,0,29
Tonya Millis,Indiana 9th,House,Federal,Legislative,https://ballotpedia.org/Tonya_Millis,https://tonyaforcongress.com/,,,,Libertarian Party,Lost,"225,276","6,374",0.028,141.0,7.0,4.0,13.0,13,279,13,148,23,95,6103,1500,78.92461538,1.0,,,,6.0,95.0,,6.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,25,4,4,0,0,0,0,0,17
Liz Mathis,Iowa 2nd,House,Federal,Legislative,https://ballotpedia.org/Liz_Mathis,https://lizmathis.com/,LizMathis1,,,Democratic Party,Lost,"303,976","136,072",0.448,305.0,12.0,53.0,,49,632,25,317,148,142,25120,3581,51.04346939,,,,,1.0,49.0,25.0,,,,47.0,24.0,,,,,21.0,,,,,47.0,,,,,,,,,,,,,,,,48.0,,,,,,,51,6,4,0,7,4,0,0,30
Cindy Axne,Iowa 3rd,House,Federal,Legislative,https://ballotpedia.org/Cindy_Axne,https://cindyaxneforcongress.com/,Axne4Congress,,,Democratic Party,Lost,"310,855","154,084",0.496,9708.0,631.0,249.0,471.0,471,19344,488,14147,2603,2106,203202,8019,35.6363482,7.0,,1.0,,2.0,1634.0,10.0,470.0,,,1.0,470.0,7.0,,,,2.0,,470.0,,,,,,,,,,,3801.0,470.0,470.0,,,,,,,,470.0,,,,,59,10,4,0,4,8,0,0,33
Ryan Melton,Iowa 4th,House,Federal,Legislative,https://ballotpedia.org/Ryan_Melton,https://meltonforiowa.com,melton4iowa,,,Democratic Party,Lost,"234,537","71,063",0.303,,,,,1,3,0,1,1,1,135,101,60.99,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,20,12,0,0,4,0,0,0,4
James Beard,Kansas 1st,House,Federal,Legislative,https://ballotpedia.org/James_Beard_(Kansas),https://www.jimmyforkansas.com/,,,,Democratic Party,Lost,"205,085","67,653",0.33,40.0,,7.0,,6,64,0,46,11,7,353,185,57.245,,,,,4.0,6.0,,,,,,,,,,,1.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,18,11,0,0,3,0,0,0,4
Patrick Schmidt,Kansas 2nd,House,Federal,Legislative,https://ballotpedia.org/Patrick_Schmidt,https://www.patrickforkansas.com,PatrickforKS,,,Democratic Party,Lost,"233,358","98,852",0.424,7.0,,1.0,,1,46,12,17,1,16,257,109,69.72,8.0,,,,,3.0,,,,,,13.0,,,,,,,,,,,,,,,,,,10.0,,,,,,,4.0,,,,,,,,4,3,0,0,1,0,0,0,0
Michael Soetaert,Kansas 2nd,House,Federal,Legislative,https://ballotpedia.org/Michael_Soetaert,https://www.mike4ks.com/,,,,Democratic Party,Lost,"233,358",0,0.0,2.0,111.0,,12.0,12,243,70,125,34,14,3944,1109,51.08333333,,,,,10.0,3.0,70.0,,,1.0,12.0,,11.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,12,0,0,4,0,0,0,41
Amanda Adkins,Kansas 3rd,House,Federal,Legislative,https://ballotpedia.org/Amanda_Adkins,https://www.amandaadkins.com/,amanda_adkins,,,Republican Party,Lost,"287,966","122,986",0.427,22.0,111.0,11.0,32.0,33,278,8,139,97,34,17479,2996,43.01151515,,,,1.0,21.0,33.0,8.0,,1.0,,33.0,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,3,4,0,6,0,0,0,16
Steve Hohe,Kansas 3rd,House,Federal,Legislative,https://ballotpedia.org/Steve_Hohe,https://steveforcongressks3.com/,stevehoheks,,,Libertarian Party,Lost,"287,966","6,557",0.023,2.0,,4.0,3.0,3,149,7,2,7,133,1114,468,66.71666667,,,,,,114.0,7.0,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,0,3,0,0,0,0
Hank Linderman,Kentucky 2nd,House,Federal,Legislative,https://ballotpedia.org/Hank_Linderman,https://hank4ky.com/,hank4ky,,,Democratic Party,Lost,"142,046","38,002",0.268,10.0,16.0,,1.0,1,40,8,29,2,1,1615,698,58.21,,,,,,,7.0,1.0,,1.0,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,20,1,0,0,0,0,0,11
Stuart Ray,Kentucky 3rd,House,Federal,Legislative,https://ballotpedia.org/Stuart_Ray,https://www.stuartrayforcongress.com/,,,,Republican Party,Lost,"259,505","98,622",0.38,,,,1.0,1,5,1,1,3,0,27,23,74.69,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Daniel Cobble,Kentucky 3rd,House,Federal,Legislative,https://ballotpedia.org/Daniel_Cobble,https://the-protect-america-project.org,,,,Independent,Lost,"259,505",30,0.0,83.0,411.0,,17.0,17,595,30,494,51,20,19479,2023,38.88294118,2.0,,,,17.0,2.0,28.0,,,,17.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,2,0,0,0,0
Matthew Lehman,Kentucky 4th,House,Federal,Legislative,https://ballotpedia.org/Matthew_Lehman_(Kentucky),https://lehman4kentucky.org/,lehman4kentucky,,,Democratic Party,Lost,"257,212","79,911",0.311,8.0,3.0,,3.0,3,56,21,11,6,18,1908,765,49.76666667,18.0,,,,,3.0,,3.0,,,3.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,0,1,0,0,0,0
Ethan Osborne,Kentucky 4th,House,Federal,Legislative,https://ballotpedia.org/Ethan_Osborne,https://oz2022.us,Oz2022us,,KYPirateParty,white,Lost,"257,212","10,091",0.039,1.0,,,1.0,1,11,7,2,2,0,111,86,60.18,,,,,,,7.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,0,0,2,0,0,0,0
Stephan William Mazur,Kentucky 5th,House,Federal,Legislative,https://ballotpedia.org/Stephan_William_Mazur,https://www.mazurforcongress.com/,Mazur4congress,,,Independent,Lost,"212,775",7,0.0,81.0,,20.0,22.0,22,174,29,81,64,0,5178,1030,15.04772727,26.0,,,,,,3.0,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,0,0,7,0,0,0,8
Randy Cravens,Kentucky 6th,House,Federal,Legislative,https://ballotpedia.org/Randy_Cravens,https://www.randycravens.com,randycravens,,,Democratic Party,Lost,"245,844","8,340",0.034,,,,1.0,1,3,0,0,3,0,35,28,68.77,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,0,2,0,0,0,0
Ed Thelander,Maine 1st,House,Federal,Legislative,https://ballotpedia.org/Ed_Thelander,https://thelanderforcongress.com/,EdForMaine,,,Republican Party,Lost,"349,176","129,263",0.37,29.0,7.0,2.0,4.0,5,137,32,36,14,55,1455,532,64.876,23.0,,,,1.0,27.0,,,,,4.0,28.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,9.0,,,,,,,,13,8,3,0,2,0,0,0,0
Bruce Poliquin,Maine 2nd,House,Federal,Legislative,https://ballotpedia.org/Bruce_Poliquin,https://poliquinforcongress.com/,,,BrucePoliquin,Republican Party,Lost,"316,382","146,142",0.469,8.0,5.0,1.0,7.0,7,74,9,14,21,30,3580,701,57.53714286,9.0,,,,6.0,20.0,,,,,7.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,0,0,2,0,0,0,0
Tiffany Bond,Maine 2nd,House,Federal,Legislative,https://ballotpedia.org/Tiffany_Bond,https://bond4.me/,TiffanyBond,,,Independent,Lost,"316,382",0,0.0,,10.0,1.0,16.0,26,68,7,26,34,1,6733,1653,48.94961538,2.0,,,,1.0,,5.0,,,16.0,16.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,4,0,0,0,0,0,0
Heather Mizeur,Maryland 1st,House,Federal,Legislative,https://ballotpedia.org/Heather_Mizeur,https://heathermizeur.com/,HeatherMizeur,,,Democratic Party,Lost,"231,370","86,670",0.375,135.0,35.0,,23.0,23,266,35,170,35,26,11073,1683,54.74478261,25.0,,,,10.0,26.0,,,,,1.0,,,,,8.0,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,32,11,5,0,3,0,0,0,13
Nicolee Ambrose,Maryland 2nd,House,Federal,Legislative,https://ballotpedia.org/Nicolee_Ambrose,https://ambroseforcongress.com/,NicoleeAmbrose,,,Republican Party,Lost,"198,989","92,335",0.464,,,,1.0,1,3,0,1,2,0,26,23,41.36,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Yuripzy Morgan,Maryland 3rd,House,Federal,Legislative,https://ballotpedia.org/Yuripzy_Morgan,https://www.ymorgan.com/,YMforcongress,,,Republican Party,Lost,"217,388","97,539",0.449,21.0,18.0,1.0,15.0,15,116,12,56,33,15,8973,2004,50.95933333,12.0,,,,2.0,15.0,,,2.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,11,2,0,25,0,0,0,41
Jeff Warner,Maryland 4th,House,Federal,Legislative,https://ballotpedia.org/Jeff_Warner,https://www.jeffwarnerforcongress.com/,,,,Republican Party,Lost,"107,146","11,109",0.104,21.0,6.0,2.0,,7,52,1,34,3,14,2178,658,70.01428571,,,,,1.0,7.0,1.0,,,,,7.0,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,52,9,0,0,7,4,0,0,32
Chris Palombi,Maryland 5th,House,Federal,Legislative,https://ballotpedia.org/Chris_Palombi,https://www.chrispalombi.com/,ChrisPalombi,,,Republican Party,Lost,"203,459","80,019",0.393,69.0,120.0,4.0,10.0,10,252,16,206,25,5,1750,451,76.124,1.0,,,,,,,,,10.0,,2.0,6.0,10.0,,,3.0,,,,,,,,,,11.0,,,,,,,,,,6.0,,,,,,,,78,17,2,0,6,3,0,0,50
Neil Parrott,Maryland 6th,House,Federal,Legislative,https://ballotpedia.org/Neil_Parrott,https://neilparrott.org,neilparrott,,,Republican Party,Lost,"214,622","106,102",0.494,,1.0,1.0,1.0,1,12,5,3,3,1,164,107,56.18,2.0,,,,1.0,1.0,3.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,32,1,0,11,9,0,0,53
Gregory Coll,Maryland 8th,House,Federal,Legislative,https://ballotpedia.org/Gregory_Coll,https://www.gregorycoll.com,CollforCongress,,,Republican Party,Lost,"181,293","39,461",0.218,17.0,63.0,20.0,,19,152,51,80,21,0,5294,1043,27.57631579,2.0,,1.0,,1.0,,,,,,,,,2.0,39.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,54,14,1,0,8,0,0,0,31
Dean James Martilli,Massachusetts 1st,House,Federal,Legislative,https://ballotpedia.org/Dean_James_Martilli,https://martilliforcongress.com/,MartilliforRep,,,Republican Party,Lost,"256,399","98,386",0.384,72.0,33.0,4.0,4.0,9,164,45,105,8,6,2128,467,32.44166667,33.0,,,,,5.0,,,,,,1.0,,4.0,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,17,12,2,0,2,0,0,0,1
Dean Tran,Massachusetts 3rd,House,Federal,Legislative,https://ballotpedia.org/Dean_Tran,https://www.deantran.com/,DeanTranMA3,,,Republican Party,Lost,"200,252","75,477",0.377,,1.0,,,10,1,0,1,0,0,3277,1044,46.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,12,0,0,7,0,0,0,37
David Cannata,Massachusetts 4th,House,Federal,Legislative,https://ballotpedia.org/David_Cannata,https://votecannata.com/,davidcannatajr,,,Republican Party,Lost,"208,279",0,0.0,71.0,46.0,13.0,6.0,6,209,25,122,37,25,4660,1029,48.6,12.0,,,,1.0,,,5.0,1.0,,6.0,25.0,,,,,,,5.0,,,,,,,,6.0,,,,,,,1.0,4.0,,7.0,,,,,,,,26,10,2,0,2,0,0,0,12
Caroline Colarusso,Massachusetts 5th,House,Federal,Legislative,https://ballotpedia.org/Caroline_Colarusso,https://www.colarussoforcongress.com/,CarolineforMA5,,,Republican Party,Lost,"130,933","32,228",0.246,48.0,78.0,23.0,1.0,30,225,60,126,39,0,7703,1301,52.58666667,1.0,,,,15.0,,,,,,,,,12.0,33.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,26,4,0,51,0,0,0,97
Robert May Jr.,Massachusetts 6th,House,Federal,Legislative,https://ballotpedia.org/Robert_May_Jr._(Massachusetts),https://www.may4congress.com/,may4congress,,,Republican Party,Lost,"265,449","94,184",0.355,30.0,29.0,30.0,,26,145,40,59,32,14,1560,41,73.68,2.0,,1.0,,2.0,,,,,,,1.0,,9.0,26.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,3,0,0,0,3,0,0,0,0
Robert Burke,Massachusetts 8th,House,Federal,Legislative,https://ballotpedia.org/Robert_Burke_(Massachusetts),https://burke4business.com/,BurkcoEyes,,,Republican Party,Lost,"195,555","59,469",0.304,,,8.0,5.0,5,200,35,0,13,152,307,97,58.9,3.0,,,,,136.0,28.0,,,,,16.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,0,3,0,0,0,0
Jerry Hilliard,Michigan 2nd,House,Federal,Legislative,https://ballotpedia.org/Jerry_Hilliard,https://jerryhilliard.com/,,,,Democratic Party,Lost,"242,951","82,344",0.339,1.0,36.0,2.0,9.0,9,52,0,38,14,0,2208,809,63.91666667,,,,,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,4,0,0,0,0,0,8
Joseph Alfonso,Michigan 4th,House,Federal,Legislative,https://ballotpedia.org/Joseph_Alfonso,https://www.josephalfonsoforcongress.com/,AlfonsoforMI4,,,Democratic Party,Lost,"274,226","107,928",0.394,21.0,17.0,3.0,,5,43,0,38,5,0,1175,538,57.848,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,17,4,0,8,0,0,0,62
Lorence Wenke,Michigan 4th,House,Federal,Legislative,https://ballotpedia.org/Lorence_Wenke,https://wenkeforcongress.com,,,Lorence4Liberty,Libertarian Party,Lost,"274,226","7,154",0.026,7.0,10.0,7.0,1.0,5,50,0,17,19,14,1800,641,56.508,,,,,5.0,4.0,,,,,1.0,10.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,4,0,0,0,0,0,0
Bart Goldberg,Michigan 5th,House,Federal,Legislative,https://ballotpedia.org/Bart_Goldberg,https://www.bart4mi.com/,bartgoldbergmi5,,,Democratic Party,Lost,"247,003","85,200",0.345,8.0,11.0,3.0,19.0,19,89,15,22,49,3,5219,1351,52.38894737,8.0,,,,8.0,,7.0,,,,19.0,2.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,0,1,0,0,0,5
Ezra Scott,Michigan 5th,House,Federal,Legislative,https://ballotpedia.org/Ezra_Scott,https://ezrascottforcongress.com/,EzraforCongress,,,U.S. Taxpayers Party,Lost,"247,003","2,526",0.01,9.0,,,12.0,12,33,0,9,24,0,6318,288,55.12,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,13,0,0,5,0,0,0,12
Paul Junge,Michigan 8th,House,Federal,Legislative,https://ballotpedia.org/Paul_Junge,https://pauljunge.com/,VotePaulJunge,,Paul379Junge,Republican Party,Lost,"335,778","143,815",0.428,1.0,29.0,,,4,46,9,30,7,0,2551,863,41.47,3.0,,,,1.0,,6.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,20,1,4,0,3,0,0,0,12
Brian Steven Jaye,Michigan 9th,House,Federal,Legislative,https://ballotpedia.org/Brian_Steven_Jaye,https://www.brianjayeformichigan.com/,JayeForMI,,,Democratic Party,Lost,"257,882","82,876",0.321,86.0,,5.0,32.0,32,174,10,88,69,7,9390,1607,-11.005,8.0,,,,,1.0,2.0,,,,32.0,2.0,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,7,2,0,9,0,0,0,13
Carl Marlinga,Michigan 10th,House,Federal,Legislative,https://ballotpedia.org/Carl_Marlinga,https://www.marlinga4congress.com/,MarlingaForMI10,,,Democratic Party,Lost,"326,237","157,602",0.483,76.0,36.0,,4.0,13,123,0,112,9,2,2484,727,63.45153846,,,,,5.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,9,0,0,11,0,0,0,42
