names,location,candidate_page,electoral_position,electoral_branch,electoral_level,area,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,campaign_website_url,camp_hand,off_hand,per_hand,party,error-type_link-name,error-type_color-contrast,error-type_label,error-type_region,error-type_heading-order,error-type_landmark-one-main,error-type_skip-link,error-type_aria-allowed-role,error-type_page-has-heading-one,error-type_duplicate-id-active,number_of_pages,number_of_total_errors,number_of_critical_errors,number_of_serious_errors,number_of_moderate_errors,number_of_minor_errors,number_of_words,number_of_unique_words,ease_of_reading,error-type_duplicate-id,error-type_image-alt,error-type_label-title-only,error-type_meta-viewport,error-type_radiogroup,error-type_html-has-lang,error-type_empty-heading,error-type_landmark-no-duplicate-banner,error-type_definition-list,error-type_document-title,error-type_checkboxgroup,error-type_tabindex,error-type_duplicate-id-aria,error-type_frame-title,error-type_aria-required-children,error-type_aria-valid-attr-value,error-type_autocomplete-valid,error-type_button-name,error-type_aria-roles,error-type_bypass,error-type_listitem,error-type_frame-title-unique,error-type_landmark-no-duplicate-contentinfo,error-type_list,error-type_aria-valid-attr,error-type_meta-viewport-large,error-type_landmark-contentinfo-is-top-level,error-type_landmark-banner-is-top-level,error-type_image-redundant-alt,error-type_aria-required-attr,error-type_area-alt,error-type_input-image-alt,error-type_aria-allowed-attr,error-type_marquee,error-type_landmark-main-is-top-level,error-type_meta-refresh,error-type_dlitem,error-type_object-alt,error-type_table-duplicate-name,error-type_aria-required-parent,number_of_total_trackers,behaviour_event_listeners,canvas_fingerprinters,canvas_font_fingerprinters,cookies,fb_pixel_events,key_logging,session_recorders,third_party_trackers
Beth Pugh Farrell,"Wake County, North Carolina",https://ballotpedia.org/Beth_Pugh_Farrell,Soil & Water Conservation District,Executive,Special District,,Lost,"558,591","144,063",0.258,https://www.bethpughfarrell.com/,,,,Nonpartisan,16.0,35.0,,1.0,,,,,4.0,,5,66,8,51,5,2,1806,565,44.556,2.0,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,100.0,27.0,2.0,0.0,12.0,0.0,0.0,0.0,59.0
Stephen Xavier,"Wake County, North Carolina",https://ballotpedia.org/Stephen_Xavier,Soil & Water Conservation District,Executive,Special District,,Lost,"558,591","85,878",0.154,https://www.xavier4soilandwater.com/,,,,Nonpartisan,,,,2.0,,2.0,,,2.0,,2,13,0,1,6,6,497,266,39.415,6.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,3.0,8.0,0.0,9.0,0.0,0.0,0.0,41.0
Rashad Hauter,"Wake County, North Carolina",https://ballotpedia.org/Rashad_Hauter,Judicial,Judicial,County,,Won,"48,239","48,239",1.0,https://www.voterashad.com/,,,,Republican Party,18.0,1.0,,,,,,,1.0,,6,21,0,20,1,0,1079,419,30.76666667,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,26.0
Cynthia Baddour Kenney,"Wake County, North Carolina",https://ballotpedia.org/Cynthia_Baddour_Kenney,Judicial,Judicial,County,,Won,"46,805","46,805",1.0,https://kenney4judge.com/,,,,Democratic Party,,,22.0,6.0,9.0,6.0,,6.0,4.0,,6,62,30,1,25,6,321,164,19.306,,,,6.0,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,15.0
Margaret P. Eagles,"Wake County, North Carolina",https://ballotpedia.org/Margaret_P._Eagles,Judicial,Judicial,County,,Won,"88,462","88,462",1.0,http://www.eaglesforjudge.com,,,,Democratic Party,1.0,8.0,6.0,1.0,5.0,1.0,,,,,1,29,10,12,7,0,1423,546,50.26,,4.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,9.0,0.0,0.0,45.0,0.0,0.0,0.0,76.0
J. Brian Ratledge,"Wake County, North Carolina",https://ballotpedia.org/J._Brian_Ratledge,Judicial,Judicial,County,,Won,"74,684","74,684",1.0,https://www.ratledgeforjudge.com/,,,brianratledge,Republican Party,7.0,60.0,8.0,6.0,1.0,,,,1.0,,6,131,9,78,8,36,1628,479,49.46333333,36.0,,3.0,,,,,,,,1.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,27.0
Louis B. Meyer,"Wake County, North Carolina","https://ballotpedia.org/Louis_B._Meyer,_III",Judicial,Judicial,County,,Won,"33,110","33,110",1.0,http://judgelouismeyer.com/,,,,Democratic Party,,62.0,12.0,,,,,24.0,,,8,136,12,100,0,24,1382,479,71.38166667,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Jennifer Bedford,"Wake County, North Carolina",https://ballotpedia.org/Jennifer_Bedford,Judicial,Judicial,County,,Won,"78,587","48,232",0.614,https://bedfordforjudge.com,JenniferBed4d,,,Democratic Party,,,,1.0,,1.0,,,,,1,4,1,1,2,0,18,14,70.8,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia Prince,"Wake County, North Carolina",https://ballotpedia.org/Asia_Prince,Judicial,Judicial,County,,Lost,"78,587","30,355",0.386,https://princeforjudge.com,ajprincenc,,,Republican Party,1.0,2.0,,1.0,,1.0,,,,,1,8,2,4,2,0,60,41,73.68,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Chris Ronayne,"Cuyahoga County, Ohio",https://ballotpedia.org/Chris_Ronayne,County executive,Executive,County,,Won,"386,568","247,301",0.64,https://www.chrisronayne.com/,chrisronayne,,,Democratic Party,4.0,4.0,,1.0,,,,,,,6,40,31,8,1,0,13571,2684,22.51166667,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,14.0,0.0,0.0,7.0,0.0,0.0,0.0,12.0
Lee Weingart,"Cuyahoga County, Ohio",https://ballotpedia.org/Lee_Weingart,County executive,Executive,County,,Lost,"386,568","138,979",0.36,https://www.weingart2022.com,weingart2022,,,Republican Party,32.0,89.0,8.0,8.0,36.0,8.0,,8.0,5.0,,8,242,52,125,57,8,6442,1613,122.13125,,44.0,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,147.0,7.0,5.0,1.0,48.0,4.0,0.0,0.0,82.0
Nan Baker,"Cuyahoga County, Ohio",https://ballotpedia.org/Nan_Baker,County council,Legislative,County,,Lost,"50,713","24,751",0.488,http://www.friendsofnanbaker.com/,,,,Republican Party,,5.0,,1.0,,,,,,,1,16,4,6,1,5,61,47,48.98,5.0,2.0,,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sunny Simon,"Cuyahoga County, Ohio",https://ballotpedia.org/Sunny_Simon,County council,Legislative,County,,Won,"27,288","27,288",1.0,https://sunnysimon.org,,,,Democratic Party,1.0,4.0,,1.0,1.0,1.0,,,,,1,9,1,5,3,0,253,148,45.15,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,3.0,4.0,0.0,28.0,0.0,1.0,0.0,16.0
Francine Goldberg,"Cuyahoga County, Ohio",https://ballotpedia.org/Francine_Goldberg,Judicial offices,Judicial,County,,Won,"197,075","197,075",1.0,https://www.judgegoldberg.com/,,,,Democratic Party,83.0,19.0,30.0,9.0,,9.0,,,,,9,223,66,135,18,4,1822,568,30.16333333,2.0,35.0,,,,9.0,2.0,,,,,,,,,,,,,,24.0,,,,,,,,,,,1.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Diane M. Palos,"Cuyahoga County, Ohio",https://ballotpedia.org/Diane_Palos,Judicial offices,Judicial,County,,Won,"191,638","191,638",1.0,http://judgedianempalos.com/,,,,Democratic Party,,16.0,,16.0,6.0,,,2.0,5.0,,16,53,4,20,27,2,3839,807,62.658125,,4.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,10.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Richard Bell,"Cuyahoga County, Ohio",https://ballotpedia.org/Richard_Bell_(Ohio),Judicial offices,Judicial,County,,Won,"287,570","190,712",0.663,https://www.richardbell4judge.com/,,,,Democratic Party,,,,,,1.0,,,1.0,,1,4,0,2,2,0,0,0,206.84,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Peter Corrigan,"Cuyahoga County, Ohio",https://ballotpedia.org/Peter_Corrigan_(Cuyahoga_County_judge),Judicial offices,Judicial,County,,Won,"203,040","203,040",1.0,https://www.judgepeterjcorrigan.com/,,,,Democratic Party,,,17.0,,1.0,,,3.0,2.0,,3,26,17,3,3,3,228,99,72.33666667,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,14.0
David T. Matia,"Cuyahoga County, Ohio",https://ballotpedia.org/David_T._Matia,Judicial offices,Judicial,County,,Won,"197,391","197,391",1.0,https://www.judgematia.com/,,,,Democratic Party,1.0,3.0,,,3.0,,,4.0,2.0,3.0,3,19,0,10,5,4,586,276,65.07,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,17.0,2.0,0.0,5.0,0.0,0.0,0.0,10.0
Jeffrey Saffold,"Cuyahoga County, Ohio",https://ballotpedia.org/Jeffrey_Saffold,Judicial offices,Judicial,County,,Won,"286,002","190,455",0.666,https://www.saffold4judge.com/,,,,Democratic Party,,2.0,,1.0,,1.0,,,1.0,,2,8,0,5,3,0,1501,495,15.11,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Mark Majer,"Cuyahoga County, Ohio",https://ballotpedia.org/Mark_Majer,Judicial offices,Judicial,County,,Lost,"286,002","95,547",0.334,https://judgemarkmajer.com,,,,Nonpartisan,1.0,2.0,,1.0,,1.0,,,,,1,8,2,4,2,0,60,41,73.68,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Maureen Clancy,"Cuyahoga County, Ohio",https://ballotpedia.org/Maureen_Clancy,Judicial offices,Judicial,County,,Won,"284,952","193,232",0.678,https://www.judgemaureenclancy.com/,,,,Democratic Party,,1.0,,1.0,,1.0,,,1.0,,1,5,0,2,3,0,0,0,206.84,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
John J. Russo,"Cuyahoga County, Ohio",https://ballotpedia.org/John_J._Russo,Judicial offices,Judicial,County,,Won,"203,271","203,271",1.0,https://judgejohnjrusso.com,,,,Democratic Party,2.0,1.0,10.0,1.0,,,,3.0,,,1,17,10,3,1,3,627,335,41.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,6.0,7.0,1.0,7.0,0.0,0.0,1.0,29.0
Denise Salerno,"Cuyahoga County, Ohio",https://ballotpedia.org/Denise_Salerno,Judicial offices,Judicial,County,,Lost,"295,041","91,848",0.311,https://www.salernoforjudge.com/,SalernoForjudge,,,Nonpartisan,1.0,2.0,,2.0,,2.0,,,1.0,,2,11,1,5,5,0,33,24,131.04,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,10.0,3.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0
Jennifer O'Donnell,"Cuyahoga County, Ohio",https://ballotpedia.org/Jennifer_O'Donnell,Judicial offices,Judicial,County,,Won,"298,908","189,745",0.635,https://www.jenniferodonnellforjudge.com/,,,,Democratic Party,1.0,2.0,,1.0,,1.0,,,,,1,8,2,4,2,0,60,41,73.68,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Kenneth Callahan,"Cuyahoga County, Ohio",https://ballotpedia.org/Kenneth_Callahan,Judicial offices,Judicial,County,,Lost,"298,908","109,163",0.365,https://www.keepjudgecallahan.com/,,,,Nonpartisan,1.0,2.0,,1.0,,1.0,,,,,1,8,2,4,2,0,60,41,73.68,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Kevin Kelley,"Cuyahoga County, Ohio",https://ballotpedia.org/Kevin_J._Kelley_(Ohio),Judicial offices,Judicial,County,,Won,"304,509","169,852",0.558,https://kevinjkelleyforjudge.com,,,,Democratic Party,1.0,1.0,,,2.0,,,,,,1,4,0,2,2,0,158,111,16.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,24.0,6.0,1.0,14.0,0.0,0.0,0.0,61.0
Anne McDonough,"Cuyahoga County, Ohio",https://ballotpedia.org/Anne_McDonough,Judicial offices,Judicial,County,,Won,"290,091","193,671",0.668,https://www.annecmcdonough.com,annemcdonough15,,,Democratic Party,,,,,1.0,,,3.0,2.0,,3,11,0,0,3,8,286,125,81.83333333,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0
Pamela Hawkins,"Cuyahoga County, Ohio",https://ballotpedia.org/Pamela_Hawkins,Judicial offices,Judicial,County,,Lost,"290,091","96,420",0.332,https://pamelahawkinsforjudge.com,PamHawkins2020,,,Nonpartisan,14.0,6.0,48.0,18.0,10.0,18.0,,,14.0,,18,134,48,20,60,6,3690,535,49.58555556,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicholas Celebrezze,"Cuyahoga County, Ohio",https://ballotpedia.org/Nicholas_Celebrezze,Judicial offices,Judicial,County,,Won,"194,366","194,366",1.0,https://www.votecelebrezze.com/,,,,Democratic Party,,,,1.0,,1.0,,,,,1,3,0,1,2,0,13,11,92.12,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeffrey Fix,"Fairfield County, Ohio",https://ballotpedia.org/Jeffrey_Fix,County commissioner,Legislative,County,,Won,"56,968","37,441",0.657,https://fixforcommissioner.com,,,Fix4Fairfield,Republican Party,3.0,8.0,,,1.0,,,,,,1,12,0,11,1,0,413,208,-24.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,13.0,0.0,0.0,10.0,0.0,0.0,0.0,69.0
Erica Crawley,"Franklin County, Ohio",https://ballotpedia.org/Erica_Crawley,County commissioner,Legislative,County,,Won,"402,800","255,087",0.633,https://ericacrawley.com/,EricaCCrawley,,,Democratic Party,10.0,20.0,,,1.0,,,67.0,8.0,,16,139,0,31,41,67,1642,494,45.463125,,,,,,,,,,,,,,1.0,,,,,,,,,16.0,,,,16.0,,,,,,,,,,,,,,35.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0
Kim A. Browne,"Franklin County, Ohio",https://ballotpedia.org/Kim_Browne,Judicial offices,Judicial,County,,Won,"337,200","234,389",0.695,https://www.judgebrowne2022.com/,,,JudgeBrowne,Democratic Party,,,,1.0,,1.0,,,1.0,,1,10,5,2,3,0,8,8,-224.29,,5.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Douglas Nobles,"Franklin County, Ohio",https://ballotpedia.org/Douglas_Nobles,Judicial offices,Judicial,County,,Won,"329,025","188,066",0.572,https://noblesforjudge.com,,,,Nonpartisan,8.0,9.0,2.0,4.0,1.0,4.0,,,,,4,53,6,21,9,17,980,345,48.2325,16.0,,4.0,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael J. Holbrook,"Franklin County, Ohio",https://ballotpedia.org/Michael_Holbrook,Judicial offices,Judicial,County,,Won,"349,058","175,310",0.502,https://holbrookforjudge.com,Holbrook4Judge,,,Republican Party,1.0,5.0,4.0,1.0,,1.0,,,,,1,13,4,6,2,1,360,215,31.18,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Jessica Barwell,"Franklin County, Ohio",https://ballotpedia.org/Jessica_Barwell,Judicial offices,Judicial,County,,Lost,"307,346","131,123",0.427,https://www.jessicabarwell.com,,,,Republican Party,,1.0,,1.0,,1.0,,,1.0,,1,5,0,2,3,0,0,0,206.84,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Jeffrey Brown,"Franklin County, Ohio",https://ballotpedia.org/Jeffrey_Brown_(Ohio),Judicial offices,Judicial,County,,Won,"271,547","271,547",1.0,http://www.judgejeffbrown.com/,,,,Democratic Party,,3.0,,,,,,2.0,1.0,,1,7,0,4,1,2,174,106,75.81,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andria Noble,"Franklin County, Ohio",https://ballotpedia.org/Andria_Noble,Judicial offices,Judicial,County,,Won,"334,449","183,821",0.55,https://www.votenobleforjudge.com,VoteNoble4Judge,,,Democratic Party,15.0,5.0,1.0,,3.0,,,,3.0,,4,27,1,20,6,0,796,315,53.4525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,31.0
Colleen O'Donnell,"Franklin County, Ohio",https://ballotpedia.org/Colleen_O'Donnell,Judicial offices,Judicial,County,,Lost,"334,449","150,628",0.45,http://committeeforjudgeodonnell.com/,,,,Republican Party,,3.0,,1.0,,1.0,,,,,1,5,0,3,2,0,11,11,40.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Bill Sperlazza,"Franklin County, Ohio",https://ballotpedia.org/Bill_Sperlazza,Judicial offices,Judicial,County,,Won,"329,017","195,903",0.595,https://sperlazza4judge.com,,,,Democratic Party,,9.0,,4.0,,4.0,,4.0,4.0,,4,25,0,9,12,4,1819,322,39.6925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0
Will Ireland,"Franklin County, Ohio",https://ballotpedia.org/Will_Ireland,Judicial offices,Judicial,County,,Lost,"329,017","133,114",0.405,https://www.willirelandforjudge.com,,,,Nonpartisan,,1.0,,1.0,,1.0,,,1.0,,1,5,0,2,3,0,0,0,206.84,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Kimberly Cocroft,"Franklin County, Ohio",https://ballotpedia.org/Kimberly_Cocroft,Judicial offices,Judicial,County,,Won,"267,252","267,252",1.0,https://www.judgecocroft.com/,,,,Democratic Party,8.0,3.0,5.0,6.0,3.0,6.0,,6.0,2.0,,6,42,7,12,17,6,1521,485,47.60333333,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,32.0,17.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0
Brigid Kelly,"Hamilton County, Ohio",https://ballotpedia.org/Brigid_Kelly,County auditor,Legislative,County,,Won,"290,251","153,603",0.529,https://brigidkelly.com,brigidekelly,,,Democratic Party,,48.0,,6.0,4.0,,5.0,,,,6,65,0,50,15,0,1104,315,69.21833333,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,32.0,9.0,5.0,0.0,4.0,0.0,0.0,0.0,14.0
Tom Brinkman Jr.,"Hamilton County, Ohio",https://ballotpedia.org/Tom_Brinkman_Jr.,County auditor,Legislative,County,,Lost,"290,251","136,648",0.471,https://gobrinkman.com,GoBrinkman,,,Republican Party,312.0,303.0,48.0,48.0,8.0,1.0,,1.0,1.0,,48,782,105,616,58,3,11358,1590,40.95708333,2.0,56.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0
Pavan Parikh,"Hamilton County, Ohio",https://ballotpedia.org/Pavan_Parikh,County clerk of court,Judicial,County,,Won,"287,504","152,375",0.53,https://keeppavanclerk.com,keeppavanclerk,,,Democratic Party,4.0,,,,,,,,1.0,,1,5,0,4,1,0,248,154,21.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,27.0
Steve Goodin,"Hamilton County, Ohio",https://ballotpedia.org/Steve_Goodin,County clerk of court,Judicial,County,,Lost,"287,504","135,129",0.47,https://electgoodin.com,electgoodin,,,Nonpartisan,1.0,2.0,,1.0,,1.0,,,,,1,8,2,4,2,0,60,41,73.68,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Christopher Smitherman,"Hamilton County, Ohio",https://ballotpedia.org/Christopher_Smitherman,County commission,Legislative,County,,Lost,"299,422","68,903",0.23,https://smithermanforcommissioner.com,voteSmitherman,,,Nonpartisan,,,,1.0,1.0,,,,,,1,2,0,0,2,0,329,188,52.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Jody M. Luebbers,"Hamilton County, Ohio",https://ballotpedia.org/Jody_Luebbers,Judicial offices,Judicial,County,,Won,"257,866","158,034",0.613,https://www.judgeluebbers.com/,JudgeLuebbers,,,Democratic Party,,1.0,,1.0,,1.0,,,1.0,,1,5,0,2,3,0,0,0,206.84,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Thomas Beridon,"Hamilton County, Ohio",https://ballotpedia.org/Thomas_Beridon,Judicial offices,Judicial,County,,Lost,"265,285","127,132",0.479,https://electberidon.com,electberidon,,,Democratic Party,,,,4.0,1.0,4.0,,,3.0,,4,31,10,6,12,3,361,168,47.9125,,10.0,,,,4.0,,,,,,,,2.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,28.0,6.0,0.0,0.0,13.0,0.0,0.0,0.0,9.0
Charles J. Kubicki,"Hamilton County, Ohio","https://ballotpedia.org/Charles_J._Kubicki,_Jr.",Judicial offices,Judicial,County,,Lost,"254,621","103,832",0.408,https://www.kubickiforjudge.com/,,,,Republican Party,1.0,2.0,,1.0,,1.0,,,,,1,8,2,4,2,0,60,41,73.68,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Megan E. Shanahan,"Hamilton County, Ohio",https://ballotpedia.org/Megan_Shanahan,Judicial offices,Judicial,County,,Won,"257,584","140,880",0.547,https://judgeshanahan.com,,,,Republican Party,,,,,,,,,,,1,1,0,0,0,1,286,166,57.61,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0
Elizabeth Sundermann,"Hamilton County, Ohio",https://ballotpedia.org/Elizabeth_Sundermann,Judicial offices,Judicial,County,,Won,"254,663","134,595",0.529,https://www.betsysundermann.com/,votesundermann,,,Republican Party,1.0,2.0,,1.0,,1.0,,,,,1,8,2,4,2,0,60,41,73.68,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Manisha Kotian,"Hamilton County, Ohio",https://ballotpedia.org/Manisha_Kotian,Judicial offices,Judicial,County,,Lost,"254,663","120,068",0.471,https://www.kotianforjudge.com/,kotianforjudge,,,Nonpartisan,1.0,2.0,,1.0,,1.0,,,,,1,8,2,4,2,0,60,41,73.68,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Stacey DeGraffenreid,"Hamilton County, Ohio",https://ballotpedia.org/Stacey_DeGraffenreid,Judicial offices,Judicial,County,,Won,"260,483","130,331",0.5,https://www.degraffenreidforjudge.com,,,,Nonpartisan,12.0,,2.0,,4.0,,,,1.0,,4,19,2,12,5,0,517,274,59.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,35.0
Rickell Smith,"Hamilton County, Ohio",https://ballotpedia.org/Rickell_Smith,Judicial offices,Judicial,County,,Lost,"260,483","130,152",0.5,https://rickellforjudge.com,RickellforJudge,,,Nonpartisan,,,,,,1.0,,,1.0,,1,4,0,2,2,0,0,0,206.84,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Rozic,"Lucas County, Ohio",https://ballotpedia.org/John_Rozic,County recorder,Executive,County,,Lost,"125,871","55,991",0.445,https://johnrozic.com,,,,Republican Party,,40.0,7.0,7.0,9.0,,,14.0,1.0,,7,91,14,46,17,14,2069,608,60.55857143,,,,,,,,,,,,,,6.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,230.0,12.0,2.0,0.0,103.0,0.0,0.0,0.0,113.0
Lori Olender,"Lucas County, Ohio",https://ballotpedia.org/Lori_Olender,Judicial offices,Judicial,County,,Won,"104,793","71,724",0.684,https://voteolender.com,olenderforjudge,,,Nonpartisan,,1.0,,1.0,,1.0,,,1.0,,1,5,0,2,3,0,0,0,206.84,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Meira Zucker,"Lucas County, Ohio",https://ballotpedia.org/Meira_Zucker,Judicial offices,Judicial,County,,Lost,"104,793","33,069",0.316,https://www.zuckerforjudge.com,,,,Nonpartisan,,1.0,,1.0,1.0,1.0,,,,,1,10,1,2,3,4,400,195,48.98,4.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0
