names,location,electoral_position,electoral_level,electoral_branch,candidate_page,campaign_website_url,camp_hand,off_hand,per_hand,party,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,error-type_color-contrast,error-type_link-name,error-type_heading-order,error-type_region,number_of_pages,number_of_total_errors,number_of_critical_errors,number_of_serious_errors,number_of_moderate_errors,number_of_minor_errors,number_of_words,number_of_unique_words,ease_of_reading,error-type_label,error-type_duplicate-id-active,error-type_checkboxgroup,error-type_label-title-only,error-type_page-has-heading-one,error-type_aria-allowed-role,error-type_image-alt,error-type_meta-viewport,error-type_bypass,error-type_html-has-lang,error-type_landmark-one-main,error-type_duplicate-id,error-type_frame-title,error-type_button-name,error-type_aria-roles,error-type_aria-valid-attr,error-type_empty-heading,error-type_document-title,error-type_landmark-no-duplicate-banner,error-type_aria-allowed-attr,error-type_autocomplete-valid,error-type_landmark-main-is-top-level,error-type_dlitem,error-type_definition-list,error-type_list,error-type_tabindex,error-type_skip-link,error-type_aria-valid-attr-value,error-type_aria-required-attr,error-type_listitem,error-type_landmark-no-duplicate-contentinfo,error-type_landmark-banner-is-top-level,error-type_meta-viewport-large,error-type_radiogroup,error-type_frame-title-unique,error-type_aria-required-children,error-type_duplicate-id-aria,error-type_image-redundant-alt,error-type_meta-refresh,error-type_landmark-contentinfo-is-top-level,error-type_aria-required-parent,error-type_marquee,error-type_input-image-alt,error-type_object-alt
James Beard,Kansas 1st,House,Federal,Legislative,https://ballotpedia.org/James_Beard_(Kansas),https://www.jimmyforkansas.com/,,,,Democratic Party,Lost,"205,085","67,653",0.33,40,,7,,6,64,0,46,11,7,353,185,57.245,,,,,4,6,,,,,,,,,,,1,,,,,,,,,6,,,,,,,,,,,,,,,,,,
Patrick Schmidt,Kansas 2nd,House,Federal,Legislative,https://ballotpedia.org/Patrick_Schmidt,https://www.patrickforkansas.com,PatrickforKS,,,Democratic Party,Lost,"233,358","98,852",0.424,7,,1,,1,46,12,17,1,16,257,109,69.72,8,,,,,3,,,,,,13,,,,,,,,,,,,,,,,,,10,,,,,,,4,,,,,,,
Michael Soetaert,Kansas 2nd,House,Federal,Legislative,https://ballotpedia.org/Michael_Soetaert,https://www.mike4ks.com/,,,,Democratic Party,Lost,"233,358",0,0,2,111,,12,12,243,70,125,34,14,3944,1109,51.08333333,,,,,10,3,70,,,1,12,,11,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amanda Adkins,Kansas 3rd,House,Federal,Legislative,https://ballotpedia.org/Amanda_Adkins,https://www.amandaadkins.com/,amanda_adkins,,,Republican Party,Lost,"287,966","122,986",0.427,22,111,11,32,33,278,8,139,97,34,17479,2996,43.01151515,,,,1,21,33,8,,1,,33,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Hohe,Kansas 3rd,House,Federal,Legislative,https://ballotpedia.org/Steve_Hohe,https://steveforcongressks3.com/,stevehoheks,,,Libertarian Party,Lost,"287,966","6,557",0.023,2,,4,3,3,149,7,2,7,133,1114,468,66.71666667,,,,,,114,7,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hank Linderman,Kentucky 2nd,House,Federal,Legislative,https://ballotpedia.org/Hank_Linderman,https://hank4ky.com/,hank4ky,,,Democratic Party,Lost,"142,046","38,002",0.268,10,16,,1,1,40,8,29,2,1,1615,698,58.21,,,,,,,7,1,,1,1,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuart Ray,Kentucky 3rd,House,Federal,Legislative,https://ballotpedia.org/Stuart_Ray,https://www.stuartrayforcongress.com/,,,,Republican Party,Lost,"259,505","98,622",0.38,,,,1,1,5,1,1,3,0,27,23,74.69,,,,,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Cobble,Kentucky 3rd,House,Federal,Legislative,https://ballotpedia.org/Daniel_Cobble,https://the-protect-america-project.org,,,,Independent,Lost,"259,505",30,0,83,411,,17,17,595,30,494,51,20,19479,2023,38.88294118,2,,,,17,2,28,,,,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Lehman,Kentucky 4th,House,Federal,Legislative,https://ballotpedia.org/Matthew_Lehman_(Kentucky),https://lehman4kentucky.org/,lehman4kentucky,,,Democratic Party,Lost,"257,212","79,911",0.311,8,3,,3,3,56,21,11,6,18,1908,765,49.76666667,18,,,,,3,,3,,,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethan Osborne,Kentucky 4th,House,Federal,Legislative,https://ballotpedia.org/Ethan_Osborne,https://oz2022.us,Oz2022us,,KYPirateParty,white,Lost,"257,212","10,091",0.039,1,,,1,1,11,7,2,2,0,111,86,60.18,,,,,,,7,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephan William Mazur,Kentucky 5th,House,Federal,Legislative,https://ballotpedia.org/Stephan_William_Mazur,https://www.mazurforcongress.com/,Mazur4congress,,,Independent,Lost,"212,775",7,0,81,,20,22,22,174,29,81,64,0,5178,1030,15.04772727,26,,,,,,3,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randy Cravens,Kentucky 6th,House,Federal,Legislative,https://ballotpedia.org/Randy_Cravens,https://www.randycravens.com,randycravens,,,Democratic Party,Lost,"245,844","8,340",0.034,,,,1,1,3,0,0,3,0,35,28,68.77,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ed Thelander,Maine 1st,House,Federal,Legislative,https://ballotpedia.org/Ed_Thelander,https://thelanderforcongress.com/,EdForMaine,,,Republican Party,Lost,"349,176","129,263",0.37,29,7,2,4,5,137,32,36,14,55,1455,532,64.876,23,,,,1,27,,,,,4,28,,,,,,,,,,,,,,,3,,,,,,,,,,9,,,,,,,
Bruce Poliquin,Maine 2nd,House,Federal,Legislative,https://ballotpedia.org/Bruce_Poliquin,https://poliquinforcongress.com/,,,BrucePoliquin,Republican Party,Lost,"316,382","146,142",0.469,8,5,1,7,7,74,9,14,21,30,3580,701,57.53714286,9,,,,6,20,,,,,7,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiffany Bond,Maine 2nd,House,Federal,Legislative,https://ballotpedia.org/Tiffany_Bond,https://bond4.me/,TiffanyBond,,,Independent,Lost,"316,382",0,0,,10,1,16,26,68,7,26,34,1,6733,1653,48.94961538,2,,,,1,,5,,,16,16,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heather Mizeur,Maryland 1st,House,Federal,Legislative,https://ballotpedia.org/Heather_Mizeur,https://heathermizeur.com/,HeatherMizeur,,,Democratic Party,Lost,"231,370","86,670",0.375,135,35,,23,23,266,35,170,35,26,11073,1683,54.74478261,25,,,,10,26,,,,,1,,,,,8,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,
Nicolee Ambrose,Maryland 2nd,House,Federal,Legislative,https://ballotpedia.org/Nicolee_Ambrose,https://ambroseforcongress.com/,NicoleeAmbrose,,,Republican Party,Lost,"198,989","92,335",0.464,,,,1,1,3,0,1,2,0,26,23,41.36,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuripzy Morgan,Maryland 3rd,House,Federal,Legislative,https://ballotpedia.org/Yuripzy_Morgan,https://www.ymorgan.com/,YMforcongress,,,Republican Party,Lost,"217,388","97,539",0.449,21,18,1,15,15,116,12,56,33,15,8973,2004,50.95933333,12,,,,2,15,,,2,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Warner,Maryland 4th,House,Federal,Legislative,https://ballotpedia.org/Jeff_Warner,https://www.jeffwarnerforcongress.com/,,,,Republican Party,Lost,"107,146","11,109",0.104,21,6,2,,7,52,1,34,3,14,2178,658,70.01428571,,,,,1,7,1,,,,,7,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,
Chris Palombi,Maryland 5th,House,Federal,Legislative,https://ballotpedia.org/Chris_Palombi,https://www.chrispalombi.com/,ChrisPalombi,,,Republican Party,Lost,"203,459","80,019",0.393,69,120,4,10,10,252,16,206,25,5,1750,451,76.124,1,,,,,,,,,10,,2,6,10,,,3,,,,,,,,,,11,,,,,,,,,,6,,,,,,,
Neil Parrott,Maryland 6th,House,Federal,Legislative,https://ballotpedia.org/Neil_Parrott,https://neilparrott.org,neilparrott,,,Republican Party,Lost,"214,622","106,102",0.494,,1,1,1,1,12,5,3,3,1,164,107,56.18,2,,,,1,1,3,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregory Coll,Maryland 8th,House,Federal,Legislative,https://ballotpedia.org/Gregory_Coll,https://www.gregorycoll.com,CollforCongress,,,Republican Party,Lost,"181,293","39,461",0.218,17,63,20,,19,152,51,80,21,0,5294,1043,27.57631579,2,,1,,1,,,,,,,,,2,39,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Dean James Martilli,Massachusetts 1st,House,Federal,Legislative,https://ballotpedia.org/Dean_James_Martilli,https://martilliforcongress.com/,MartilliforRep,,,Republican Party,Lost,"256,399","98,386",0.384,72,33,4,4,9,164,45,105,8,6,2128,467,32.44166667,33,,,,,5,,,,,,1,,4,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,
Dean Tran,Massachusetts 3rd,House,Federal,Legislative,https://ballotpedia.org/Dean_Tran,https://www.deantran.com/,DeanTranMA3,,,Republican Party,Lost,"200,252","75,477",0.377,,1,,,10,1,0,1,0,0,3277,1044,46.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Cannata,Massachusetts 4th,House,Federal,Legislative,https://ballotpedia.org/David_Cannata,https://votecannata.com/,davidcannatajr,,,Republican Party,Lost,"208,279",0,0,71,46,13,6,6,209,25,122,37,25,4660,1029,48.6,12,,,,1,,,5,1,,6,25,,,,,,,5,,,,,,,,6,,,,,,,1,4,,7,,,,,,,
Caroline Colarusso,Massachusetts 5th,House,Federal,Legislative,https://ballotpedia.org/Caroline_Colarusso,https://www.colarussoforcongress.com/,CarolineforMA5,,,Republican Party,Lost,"130,933","32,228",0.246,48,78,23,1,30,225,60,126,39,0,7703,1301,52.58666667,1,,,,15,,,,,,,,,12,33,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert May Jr.,Massachusetts 6th,House,Federal,Legislative,https://ballotpedia.org/Robert_May_Jr._(Massachusetts),https://www.may4congress.com/,may4congress,,,Republican Party,Lost,"265,449","94,184",0.355,30,29,30,,26,145,40,59,32,14,1560,41,73.68,2,,1,,2,,,,,,,1,,9,26,2,7,,,,,,,,,,,,,,,,,,,,,6,,,,,,
Robert Burke,Massachusetts 8th,House,Federal,Legislative,https://ballotpedia.org/Robert_Burke_(Massachusetts),https://burke4business.com/,BurkcoEyes,,,Republican Party,Lost,"195,555","59,469",0.304,,,8,5,5,200,35,0,13,152,307,97,58.9,3,,,,,136,28,,,,,16,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerry Hilliard,Michigan 2nd,House,Federal,Legislative,https://ballotpedia.org/Jerry_Hilliard,https://jerryhilliard.com/,,,,Democratic Party,Lost,"242,951","82,344",0.339,1,36,2,9,9,52,0,38,14,0,2208,809,63.91666667,,,,,2,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Alfonso,Michigan 4th,House,Federal,Legislative,https://ballotpedia.org/Joseph_Alfonso,https://www.josephalfonsoforcongress.com/,AlfonsoforMI4,,,Democratic Party,Lost,"274,226","107,928",0.394,21,17,3,,5,43,0,38,5,0,1175,538,57.848,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorence Wenke,Michigan 4th,House,Federal,Legislative,https://ballotpedia.org/Lorence_Wenke,https://wenkeforcongress.com,,,Lorence4Liberty,Libertarian Party,Lost,"274,226","7,154",0.026,7,10,7,1,5,50,0,17,19,14,1800,641,56.508,,,,,5,4,,,,,1,10,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
Bart Goldberg,Michigan 5th,House,Federal,Legislative,https://ballotpedia.org/Bart_Goldberg,https://www.bart4mi.com/,bartgoldbergmi5,,,Democratic Party,Lost,"247,003","85,200",0.345,8,11,3,19,19,89,15,22,49,3,5219,1351,52.38894737,8,,,,8,,7,,,,19,2,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezra Scott,Michigan 5th,House,Federal,Legislative,https://ballotpedia.org/Ezra_Scott,https://ezrascottforcongress.com/,EzraforCongress,,,U.S. Taxpayers Party,Lost,"247,003","2,526",0.01,9,,,12,12,33,0,9,24,0,6318,288,55.12,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Junge,Michigan 8th,House,Federal,Legislative,https://ballotpedia.org/Paul_Junge,https://pauljunge.com/,VotePaulJunge,,Paul379Junge,Republican Party,Lost,"335,778","143,815",0.428,1,29,,,4,46,9,30,7,0,2551,863,41.47,3,,,,1,,6,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
Brian Steven Jaye,Michigan 9th,House,Federal,Legislative,https://ballotpedia.org/Brian_Steven_Jaye,https://www.brianjayeformichigan.com/,JayeForMI,,,Democratic Party,Lost,"257,882","82,876",0.321,86,,5,32,32,174,10,88,69,7,9390,1607,-11.005,8,,,,,1,2,,,,32,2,2,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carl Marlinga,Michigan 10th,House,Federal,Legislative,https://ballotpedia.org/Carl_Marlinga,https://www.marlinga4congress.com/,MarlingaForMI10,,,Democratic Party,Lost,"326,237","157,602",0.483,76,36,,4,13,123,0,112,9,2,2484,727,63.45153846,,,,,5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Saliba,Michigan 10th,House,Federal,Legislative,https://ballotpedia.org/Mike_Saliba,https://votesaliba.com/,,,,Libertarian Party,Lost,"326,237","3,524",0.011,,5,,5,5,25,0,5,20,0,964,365,39.006,,,,,5,,,,,,5,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
Mark Ambrose,Michigan 11th,House,Federal,Legislative,https://ballotpedia.org/Mark_Ambrose,https://voteambrose.com/,VoteMarkAmbrose,,,Republican Party,Lost,"360,631","140,267",0.389,25,48,13,,6,142,22,73,37,10,3315,1236,34.10166667,17,,,,,,1,,,,,10,,,,,,,6,,,6,,,,,,,,,,6,,,,,4,,,6,,,,
Steven Elliott,Michigan 12th,House,Federal,Legislative,https://ballotpedia.org/Steven_Elliott_(Michigan),https://stevenelliottforcongress.com/,StevenElliottMI,,,Republican Party,Lost,"163,433","43,946",0.269,,5,,1,1,16,7,5,2,2,1004,498,59.13,5,,1,,,1,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Christopher Dardzinski,Michigan 13th,House,Federal,Legislative,https://ballotpedia.org/Christopher_Dardzinski,https://leadership1776.com/,,,,U.S. Taxpayers Party,Lost,"234,444","2,769",0.012,,,47,13,13,841,10,0,60,771,28249,3848,35.34307692,,,,,,687,10,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Finstad,Minnesota 1st,House,Federal,Legislative,https://ballotpedia.org/Brad_Finstad,https://finstadforcongress.com,BradFinstad,,,Republican Party,Won,"296,547","159,621",0.538,,67,3,14,14,129,16,67,18,28,5582,923,40.17285714,9,,,,1,28,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Ettinger,Minnesota 1st,House,Federal,Legislative,https://ballotpedia.org/Jeff_Ettinger,https://www.ettingerforcongress.com,SouthernMN4Jeff,,,Democratic Party,Lost,"296,547","125,457",0.423,2,1,,1,1,8,2,4,2,0,60,41,73.68,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Reisdorf,Minnesota 1st,House,Federal,Legislative,https://ballotpedia.org/Richard_Reisdorf,https://richardreisdorf.com,,,,Legal Marijuana Now Party,Lost,"296,547","6,389",0.022,1,8,1,1,1,15,2,9,4,0,642,338,41.7,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,
Brian Abrahamson,Minnesota 1st,House,Federal,Legislative,https://ballotpedia.org/Brian_Abrahamson,https://www.brianabrahamsonforcongress.com,,,,Grassroots-Legalize Cannabis Party of Minnesota,Lost,"296,547","4,943",0.017,3,11,,,3,16,2,14,0,0,644,303,44.34333333,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paula Overby,Minnesota 2nd,House,Federal,Legislative,https://ballotpedia.org/Paula_Overby,https://www.paulaoverby.com,Paula_overby,,,Legal Marijuana Now Party,Lost,"307,609","10,221",0.033,236,1104,7,111,133,3572,952,1560,342,718,78605,4361,54.61413534,314,109,1,,111,303,480,22,,111,111,415,,,22,,,,,,,,,,,,2,,,,,,,2,,,111,,,,,,,
May Lor Xiong,Minnesota 4th,House,Federal,Legislative,https://ballotpedia.org/May_Lor_Xiong,https://may4mn.com,xiongmay,,,Republican Party,Lost,"295,973","95,493",0.323,2,1,,1,1,8,2,4,2,0,60,41,73.68,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cicely Davis,Minnesota 5th,House,Federal,Legislative,https://ballotpedia.org/Cicely_Davis,https://www.cicelydavis.com/,CicelyDavisMN,,,Republican Party,Lost,"284,888","70,689",0.248,74,72,4,,24,163,11,147,5,0,14714,1496,50.83956522,11,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeanne Hendricks,Minnesota 6th,House,Federal,Legislative,https://ballotpedia.org/Jeanne_Hendricks,https://hendricks2022.com,hendricks2022,,JeanneH76486336,Democratic Party,Lost,"319,767","120,852",0.378,,,,1,1,3,0,1,2,0,70,51,39.37,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jill Abahsain,Minnesota 7th,House,Federal,Legislative,https://ballotpedia.org/Jill_Abahsain,https://www.jillforthehill.org,jillforcd7,,,Democratic Party,Lost,"280,777","77,494",0.276,18,,14,,14,61,20,19,18,4,3160,1014,61.99285714,2,,,,4,2,,,,,,1,,9,6,2,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,
Travis Johnson,Minnesota 7th,House,Federal,Legislative,https://ballotpedia.org/Travis_Johnson_(Minnesota),https://bulljohnsonforcongress.us,TravisBullJohn1,,,Legal Marijuana Now Party,Lost,"280,777","15,066",0.054,21,10,3,9,9,73,15,31,27,0,4162,1019,57.64888889,15,,,,6,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Flowers,Mississippi 2nd,House,Federal,Legislative,https://ballotpedia.org/Brian_Flowers,https://flowersforcongress.com,,,,Republican Party,Lost,"132,655","54,035",0.407,696,826,20,137,137,5581,365,1576,331,3309,42137,3733,30.71426471,225,,,8,21,,3,137,,,137,3309,,,,,,,15,,46,,,,,,1,,,,,,,,,,,,,,,,,
Johnny DuPree,Mississippi 4th,House,Federal,Legislative,https://ballotpedia.org/Johnny_DuPree,http://www.johnnydupree.com/,,,johnnyldupree,Democratic Party,Lost,"164,836","39,292",0.238,2,1,,1,1,8,2,4,2,0,60,41,73.68,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alden Johnson,Mississippi 4th,House,Federal,Legislative,https://ballotpedia.org/Alden_Johnson,https://aldenforcongress.com/,Alden4Congress,,,Libertarian Party,Lost,"164,836","3,416",0.021,15,10,12,5,5,84,30,30,24,0,2153,650,57.454,1,,,,,,29,,,,5,,,,,,,,,,,,,,5,,,,,,2,,,,,,,,,,,,,
Andrew Jones  Jr.,Missouri 1st,House,Federal,Legislative,https://ballotpedia.org/Andrew_Jones_Jr._(Missouri),https://andrewjonesforcongress.com,AJones4Congress,,,Republican Party,Lost,"219,780","53,572",0.244,,8,1,,1,14,4,8,1,1,124,78,80.32,,,,,,1,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Slantz,Missouri 2nd,House,Federal,Legislative,https://ballotpedia.org/Bill_Slantz,https://billslantz.com/,,,BillSlantz,Libertarian Party,Lost,"315,160","6,486",0.021,8,6,2,8,8,49,4,15,12,18,1846,555,67.1625,,,,1,2,18,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Bethany Mann,Missouri 3rd,House,Federal,Legislative,https://ballotpedia.org/Bethany_Mann,https://bethanymannforcongress.com,Mann4Congress,,UnityBethany,Democratic Party,Lost,"266,130","92,899",0.349,257,31,14,30,29,498,50,312,107,29,13136,1724,50.43551724,41,,4,,7,30,,,,,30,,,,,1,,,,,4,,,,,30,30,,,,,,,,,4,,,,,,,,
Jack Truman,Missouri 4th,House,Federal,Legislative,https://ballotpedia.org/Jack_Truman,https://truman4congress.blogspot.com/,,,thatjacktruman,Democratic Party,Lost,"246,276","62,575",0.254,120,40,,12,12,248,24,200,24,0,15321,577,75.90666667,,,,12,,,24,,,,12,,16,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,
Henry Martin,Missouri 6th,House,Federal,Legislative,https://ballotpedia.org/Henry_Martin,http://henrymartinforcongress.com/,hmforcongress,,,Democratic Party,Lost,"254,862","70,810",0.278,29,28,6,8,8,116,25,58,30,3,3682,990,35.03875,13,,4,,8,,,8,,,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Edward Anders Maidment,Missouri 6th,House,Federal,Legislative,https://ballotpedia.org/Edward_Anders_Maidment,https://www.maidmentformissouri.com/,Anders_Maidment,,,Libertarian Party,Lost,"254,862","5,642",0.022,27,8,1,,8,67,0,51,8,8,470,203,26.24625,,8,,,7,8,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,
Kristen Radaker-Sheafer,Missouri 7th,House,Federal,Legislative,https://ballotpedia.org/Kristen_Radaker-Sheafer,https://www.kristenforcongress.com/,KristenRSheafer,,,Democratic Party,Lost,"200,772","51,419",0.256,3,3,,,5,22,1,7,6,8,2581,1006,38.534,,,,,4,1,,,,,1,7,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,
Randi McCallian,Missouri 8th,House,Federal,Legislative,https://ballotpedia.org/Randi_McCallian,https://www.randimccallian.com/,RandiMcCallian,,,Democratic Party,Lost,"213,370","45,626",0.214,7,12,7,,5,28,0,19,9,0,1860,623,61.712,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monica Tranel,Montana 1st,House,Federal,Legislative,https://ballotpedia.org/Monica_Tranel,https://monicatranel.com/,MonicaTranel,,,Democratic Party,Lost,"247,960","115,265",0.465,91,4,1,5,5,126,3,95,19,9,2912,842,30.482,,,,,3,8,3,,,,5,,,,,,1,,4,,,,,,,,1,,,,,,,,,,,,,,,,,
Gary Buchanan,Montana 2nd,House,Federal,Legislative,https://ballotpedia.org/Gary_Buchanan,https://www.buchananformontana.com,BuchananForMT,,,Independent,Lost,"148,392","32,281",0.218,471,63,12,73,73,974,107,534,234,99,26530,3490,36.74428571,33,,,,1,30,1,73,,,,69,,,,,,,73,,,,,,,,,,,,1,73,,,,,,,,1,,,,
Penny Ronning,Montana 2nd,House,Federal,Legislative,https://ballotpedia.org/Penny_Ronning,https://www.pennyronning.com/,penny4congress,,pennyronning,Democratic Party,Lost,"148,392","29,609",0.2,6,4,52,,46,182,3,80,53,46,13660,2588,30.49288889,3,20,,,1,45,,,,1,,1,4,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,
Patty Pansing Brooks,Nebraska 1st,House,Federal,Legislative,https://ballotpedia.org/Patty_Pansing_Brooks,https://pattyforcongress.com/,Patty4Nebraska,,,Democratic Party,Lost,"211,790","88,304",0.417,18,36,22,10,10,104,3,54,42,5,5316,1400,51.985,,,,,2,3,2,1,,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Robertson,Nevada 1st,House,Federal,Legislative,https://ballotpedia.org/Mark_Robertson_(Nevada),https://robertsonforcongress.com/,RobertsonforNV,,,Republican Party,Lost,"202,837","95,096",0.469,21,20,3,26,62,585,3,64,81,437,24683,4065,44.38725806,4,,,4,5,437,,,,6,26,,,,,,,6,1,,,,,,,,20,,,,,,,,6,,,,,,,,,
April Becker,Nevada 3rd,House,Federal,Legislative,https://ballotpedia.org/April_Becker,https://voteaprilbecker.com,voteaprilbecker,,,Republican Party,Lost,"228,560","111,957",0.49,200,136,3,14,21,416,18,337,33,28,4401,1129,57.26904762,13,,,,2,26,,,1,,14,1,,,,,1,,,1,,,,,,,,3,,,,,,,,1,,,,,,,,
Karoline Leavitt,New Hampshire 1st,House,Federal,Legislative,https://ballotpedia.org/Karoline_Leavitt,https://www.karolineforcongress.com/,kleavittnh,,,Republican Party,Lost,"273,427","126,609",0.463,2,1,,1,1,8,2,4,2,0,60,41,73.68,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Burns,New Hampshire 2nd,House,Federal,Legislative,https://ballotpedia.org/Bob_Burns_(New_Hampshire),https://www.burns4nh.com/,BurnsForNH,,,Republican Party,Lost,"268,746","116,633",0.434,,1,,4,7,6,1,1,4,0,1441,524,90.29857143,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claire Gustafson,New Jersey 1st,House,Federal,Legislative,https://ballotpedia.org/Claire_Gustafson,https://clairegustafson.com/,ClaireGForNJRep,,,Republican Party,Lost,"155,888","51,129",0.328,2,,5,,4,158,1,3,5,149,1747,692,46.51,,,,,,135,1,,,,,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Alexander,New Jersey 2nd,House,Federal,Legislative,https://ballotpedia.org/Tim_Alexander,https://www.timalexanderforcongress.com/,talexander_NJ02,,,Democratic Party,Lost,"208,119","78,628",0.378,87,6,,2,7,110,1,93,3,13,2296,823,41.03714286,,,,,1,,1,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Healey,New Jersey 3rd,House,Federal,Legislative,https://ballotpedia.org/Bob_Healey_(New_Jersey),https://www.bobhealeyfornj.com,BobHealey4NJ,,,Republican Party,Lost,"239,890","106,080",0.442,28,258,3,30,30,647,262,291,63,31,17934,3094,30.032,4,,,,,,258,,,,30,31,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
Christopher Russomanno,New Jersey 3rd,House,Federal,Legislative,https://ballotpedia.org/Christopher_Russomanno,https://www.chrisrussomannoforcongress.com/,,,,Libertarian Party,Lost,"239,890","1,177",0.005,6,,4,,6,23,11,6,6,0,8443,2141,63.375,,,,,2,,,,,,,,,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregory Sobocinski,New Jersey 3rd,House,Federal,Legislative,https://ballotpedia.org/Gregory_Sobocinski,https://www.votesobo.com/,,,,God Save America,Lost,"239,890","1,001",0.004,312,1365,40,34,34,2697,424,1948,155,170,17853,1207,41.61794118,66,,,,28,,327,30,,1,23,139,2,,,,31,8,30,,,,,,260,,,,,,,,,,,,1,,,,,,,
Jason Cullen,New Jersey 4th,House,Federal,Legislative,https://ballotpedia.org/Jason_Cullen,https://www.cullen4congress.com/,Cullen4Congress,,,Libertarian Party,Lost,"248,619","1,822",0.007,5,,9,1,5,21,1,5,15,0,1217,502,50.804,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
